date,week,year,supplier,country,part_type,max_capacity,packages_ordered,fuel_surcharge,base_cost_per_package,expedite_cost,logistics_cost,penalty_cost
2023-01-02,1,2023,A,Germany,Chassis,20,20,1.2,150,120,3240.0,0.0
2023-01-09,2,2023,A,Germany,Chassis,20,16,1.2,150,120,2592.0,0.0
2023-01-16,3,2023,A,Germany,Chassis,20,18,1.2,150,120,2916.0,0.0
2023-01-23,4,2023,A,Germany,Chassis,20,18,1.2,150,120,2916.0,0.0
2023-01-30,5,2023,A,Germany,Chassis,20,18,1.2,150,120,2916.0,0.0
2023-02-06,6,2023,A,Germany,Chassis,20,17,1.2,150,120,2754.0,0.0
2023-02-13,7,2023,A,Germany,Chassis,20,18,1.2,150,120,2916.0,0.0
2023-02-20,8,2023,A,Germany,Chassis,20,18,1.2,150,120,2916.0,0.0
2023-02-27,9,2023,A,Germany,Chassis,20,17,1.2,150,120,2754.0,0.0
2023-03-06,10,2023,A,Germany,Chassis,20,19,1.2,150,120,3078.0,0.0
2023-03-13,11,2023,A,Germany,Chassis,20,17,1.2,150,120,2754.0,0.0
2023-03-20,12,2023,A,Germany,Chassis,20,16,1.2,150,120,2592.0,0.0
2023-03-27,13,2023,A,Germany,Chassis,20,18,1.2,150,120,2916.0,0.0
2023-04-03,14,2023,A,Germany,Chassis,20,17,1.3,150,120,2771.0,0.0
2023-04-10,15,2023,A,Germany,Chassis,20,21,1.3,150,120,3393.0,133.0
2023-04-17,16,2023,A,Germany,Chassis,20,16,1.3,150,120,2608.0,0.0
2023-04-24,17,2023,A,Germany,Chassis,20,17,1.3,150,120,2771.0,0.0
2023-05-01,18,2023,A,Germany,Chassis,20,17,1.3,150,120,2771.0,0.0
2023-05-08,19,2023,A,Germany,Chassis,20,24,1.3,150,120,3792.0,532.0
2023-05-15,20,2023,A,Germany,Chassis,20,21,1.3,150,120,3393.0,133.0
2023-05-22,21,2023,A,Germany,Chassis,20,19,1.3,150,120,3097.0,0.0
2023-05-29,22,2023,A,Germany,Chassis,20,16,1.3,150,120,2608.0,0.0
2023-06-05,23,2023,A,Germany,Chassis,20,18,1.3,150,120,2934.0,0.0
2023-06-12,24,2023,A,Germany,Chassis,20,19,1.3,150,120,3097.0,0.0
2023-06-19,25,2023,A,Germany,Chassis,20,16,1.3,150,120,2608.0,0.0
2023-06-26,26,2023,A,Germany,Chassis,20,20,1.3,150,120,3260.0,0.0
2023-07-03,27,2023,A,Germany,Chassis,20,16,1.4,150,120,2624.0,0.0
2023-07-10,28,2023,A,Germany,Chassis,20,16,1.4,150,120,2624.0,0.0
2023-07-17,29,2023,A,Germany,Chassis,20,19,1.4,150,120,3116.0,0.0
2023-07-24,30,2023,A,Germany,Chassis,20,18,1.4,150,120,2952.0,0.0
2023-07-31,31,2023,A,Germany,Chassis,20,18,1.4,150,120,2952.0,0.0
2023-08-07,32,2023,A,Germany,Chassis,20,18,1.4,150,120,2952.0,0.0
2023-08-14,33,2023,A,Germany,Chassis,20,19,1.4,150,120,3116.0,0.0
2023-08-21,34,2023,A,Germany,Chassis,20,17,1.4,150,120,2788.0,0.0
2023-08-28,35,2023,A,Germany,Chassis,20,17,1.4,150,120,2788.0,0.0
2023-09-04,36,2023,A,Germany,Chassis,20,17,1.4,150,120,2788.0,0.0
2023-09-11,37,2023,A,Germany,Chassis,20,18,1.4,150,120,2952.0,0.0
2023-09-18,38,2023,A,Germany,Chassis,20,20,1.4,150,120,3280.0,0.0
2023-09-25,39,2023,A,Germany,Chassis,20,18,1.4,150,120,2952.0,0.0
2023-10-02,40,2023,A,Germany,Chassis,20,18,1.35,150,120,2943.0,0.0
2023-10-09,41,2023,A,Germany,Chassis,20,19,1.35,150,120,3106.5,0.0
2023-10-16,42,2023,A,Germany,Chassis,20,17,1.35,150,120,2779.5,0.0
